Company,Date,Price,Open,High,Low,Vol.,Change %
Abu Qir Fertilizers and Chemical Industries,2017-01-01,6.8,6.74,6.93,6.74,100470,-2.16
Abu Qir Fertilizers and Chemical Industries,2017-01-08,6.8,6.96,6.96,6.77,117300,0.0
Abu Qir Fertilizers and Chemical Industries,2017-01-15,6.6,6.83,6.87,6.53,437290,-2.94
Abu Qir Fertilizers and Chemical Industries,2017-01-22,6.67,6.47,6.73,6.47,26230,1.06
Abu Qir Fertilizers and Chemical Industries,2017-01-29,6.85,6.67,7.27,6.33,273220,2.7
Abu Qir Fertilizers and Chemical Industries,2017-02-05,6.94,7.27,7.53,6.8,1690000,1.31
Abu Qir Fertilizers and Chemical Industries,2017-02-12,7.69,7.0,8.33,6.47,2410000,10.81
Abu Qir Fertilizers and Chemical Industries,2017-02-19,7.46,7.64,7.67,7.2,763530,-2.99
Abu Qir Fertilizers and Chemical Industries,2017-02-26,7.08,7.57,7.57,6.83,1060000,-5.09
Abu Qir Fertilizers and Chemical Industries,2017-03-05,8.53,7.17,8.76,7.13,6580000,20.48
Abu Qir Fertilizers and Chemical Industries,2017-03-12,8.88,8.72,9.07,8.57,3970000,4.1
Abu Qir Fertilizers and Chemical Industries,2017-03-19,8.62,8.87,9.06,8.51,1750000,-2.93
Abu Qir Fertilizers and Chemical Industries,2017-03-26,8.72,8.63,8.8,8.37,1190000,1.16
Abu Qir Fertilizers and Chemical Industries,2017-04-02,12.07,8.73,12.27,8.58,5250000,38.42
Abu Qir Fertilizers and Chemical Industries,2017-04-09,10.94,12.08,12.26,10.8,3930000,-9.36
Abu Qir Fertilizers and Chemical Industries,2017-04-16,11.11,10.87,11.4,10.68,933240,1.55
Abu Qir Fertilizers and Chemical Industries,2017-04-23,11.69,10.77,12.0,10.77,1850000,5.22
Abu Qir Fertilizers and Chemical Industries,2017-04-30,12.03,11.51,12.52,11.47,2500000,2.91
Abu Qir Fertilizers and Chemical Industries,2017-05-07,12.17,11.87,12.33,11.8,1740000,1.16
Abu Qir Fertilizers and Chemical Industries,2017-05-14,13.1,12.15,13.73,12.15,3860000,7.64
Abu Qir Fertilizers and Chemical Industries,2017-05-21,14.67,13.5,15.33,13.5,3470000,11.98
Abu Qir Fertilizers and Chemical Industries,2017-05-28,16.03,14.9,16.26,14.4,2610000,9.27
Abu Qir Fertilizers and Chemical Industries,2017-06-04,15.37,16.27,16.27,15.2,1360000,-4.12
Abu Qir Fertilizers and Chemical Industries,2017-06-11,16.66,15.32,16.87,14.93,2170000,8.39
Abu Qir Fertilizers and Chemical Industries,2017-06-18,16.42,16.65,17.0,16.07,936400,-1.44
Abu Qir Fertilizers and Chemical Industries,2017-06-25,16.66,16.4,16.73,16.4,228730,1.46
Abu Qir Fertilizers and Chemical Industries,2017-07-02,16.27,16.67,17.26,16.0,1290000,-2.34
Abu Qir Fertilizers and Chemical Industries,2017-07-09,15.87,16.28,16.53,15.54,1840000,-2.46
Abu Qir Fertilizers and Chemical Industries,2017-07-16,15.66,15.8,16.0,14.97,1570000,-1.32
Abu Qir Fertilizers and Chemical Industries,2017-07-23,17.43,15.96,17.8,15.34,1070000,11.3
Abu Qir Fertilizers and Chemical Industries,2017-07-30,16.24,17.23,17.51,16.07,1640000,-6.83
Abu Qir Fertilizers and Chemical Industries,2017-08-06,15.19,16.3,16.6,14.92,2320000,-6.47
Abu Qir Fertilizers and Chemical Industries,2017-08-13,15.53,14.55,16.7,13.61,2440000,2.24
Abu Qir Fertilizers and Chemical Industries,2017-08-20,15.47,15.5,15.78,14.4,1860000,-0.39
Abu Qir Fertilizers and Chemical Industries,2017-08-27,15.68,15.3,17.0,15.21,2940000,1.36
Abu Qir Fertilizers and Chemical Industries,2017-09-03,15.36,15.68,15.7,15.2,1480000,-2.04
Abu Qir Fertilizers and Chemical Industries,2017-09-10,16.96,15.3,17.32,15.3,6760000,10.42
Abu Qir Fertilizers and Chemical Industries,2017-09-17,17.16,17.0,17.49,16.81,4530000,1.18
Abu Qir Fertilizers and Chemical Industries,2017-09-24,18.24,17.26,18.68,17.19,7160000,6.29
Abu Qir Fertilizers and Chemical Industries,2017-10-01,19.04,18.29,19.39,18.0,4670000,4.39
Abu Qir Fertilizers and Chemical Industries,2017-10-08,19.51,19.1,19.8,18.88,2310000,2.47
Abu Qir Fertilizers and Chemical Industries,2017-10-15,18.64,19.6,20.0,18.37,2680000,-4.46
Abu Qir Fertilizers and Chemical Industries,2017-10-22,17.88,18.34,18.8,17.31,1880000,-4.08
Abu Qir Fertilizers and Chemical Industries,2017-10-29,20.03,18.0,20.3,17.82,5130000,12.02
Abu Qir Fertilizers and Chemical Industries,2017-11-05,20.4,20.1,20.97,19.0,4870000,1.85
Abu Qir Fertilizers and Chemical Industries,2017-11-12,18.81,20.32,20.36,18.63,2110000,-7.79
Abu Qir Fertilizers and Chemical Industries,2017-11-19,19.59,18.7,19.9,18.02,1930000,4.15
Abu Qir Fertilizers and Chemical Industries,2017-11-26,19.74,19.74,20.39,19.14,1460000,0.77
Abu Qir Fertilizers and Chemical Industries,2017-12-03,18.97,19.6,19.89,18.81,683840,-3.9
Abu Qir Fertilizers and Chemical Industries,2017-12-10,21.25,19.11,21.8,18.9,5060000,12.02
Abu Qir Fertilizers and Chemical Industries,2017-12-17,21.6,22.47,23.2,21.42,3370000,1.65
Abu Qir Fertilizers and Chemical Industries,2017-12-24,21.79,21.87,22.64,21.32,1260000,0.88
Abu Qir Fertilizers and Chemical Industries,2017-12-31,21.4,21.89,22.17,21.25,1090000,-1.79
Abu Qir Fertilizers and Chemical Industries,2018-01-07,24.33,21.51,25.0,21.5,2800000,13.69
Abu Qir Fertilizers and Chemical Industries,2018-01-14,25.0,24.6,25.9,24.6,2920000,2.75
Abu Qir Fertilizers and Chemical Industries,2018-01-21,25.18,24.75,25.6,24.56,1380000,0.72
Abu Qir Fertilizers and Chemical Industries,2018-01-28,29.89,25.55,33.0,25.55,4190000,18.71
Abu Qir Fertilizers and Chemical Industries,2018-02-04,28.7,30.0,30.2,27.51,2400000,-3.98
Abu Qir Fertilizers and Chemical Industries,2018-02-11,28.82,28.9,29.5,27.8,1900000,0.42
Abu Qir Fertilizers and Chemical Industries,2018-02-18,33.29,29.0,34.35,28.83,3930000,15.51
Abu Qir Fertilizers and Chemical Industries,2018-02-25,34.57,33.47,36.69,33.15,3840000,3.84
Abu Qir Fertilizers and Chemical Industries,2018-03-04,33.03,35.0,35.79,32.6,3400000,-4.45
Abu Qir Fertilizers and Chemical Industries,2018-03-11,32.82,32.73,34.5,32.0,3850000,-0.64
Abu Qir Fertilizers and Chemical Industries,2018-03-18,32.19,33.0,34.22,32.0,2410000,-1.92
Abu Qir Fertilizers and Chemical Industries,2018-03-25,31.71,31.9,33.2,31.25,1370000,-1.49
Abu Qir Fertilizers and Chemical Industries,2018-04-01,30.86,31.8,32.75,30.5,1700000,-2.68
Abu Qir Fertilizers and Chemical Industries,2018-04-08,30.99,31.17,32.79,30.8,1180000,0.42
Abu Qir Fertilizers and Chemical Industries,2018-04-15,31.6,31.5,32.0,30.5,1090000,1.97
Abu Qir Fertilizers and Chemical Industries,2018-04-22,32.4,31.94,33.89,31.89,2370000,2.53
Abu Qir Fertilizers and Chemical Industries,2018-04-29,30.58,32.49,32.6,30.5,1140000,-5.62
Abu Qir Fertilizers and Chemical Industries,2018-05-06,28.03,30.95,31.19,27.4,1860000,-8.34
Abu Qir Fertilizers and Chemical Industries,2018-05-13,28.3,27.99,28.6,27.13,672210,0.96
Abu Qir Fertilizers and Chemical Industries,2018-05-20,29.49,28.59,30.24,28.13,852130,4.2
Abu Qir Fertilizers and Chemical Industries,2018-05-27,27.52,29.33,29.36,27.03,357230,-6.68
Abu Qir Fertilizers and Chemical Industries,2018-06-03,27.3,27.75,29.7,27.11,806290,-0.8
Abu Qir Fertilizers and Chemical Industries,2018-06-10,29.06,27.6,29.7,27.44,416600,6.45
Abu Qir Fertilizers and Chemical Industries,2018-06-17,28.77,29.1,29.1,28.25,77570,-1.0
Abu Qir Fertilizers and Chemical Industries,2018-06-24,28.93,28.7,30.0,28.43,1260000,0.56
Abu Qir Fertilizers and Chemical Industries,2018-07-01,28.99,28.83,29.15,28.5,605150,0.21
Abu Qir Fertilizers and Chemical Industries,2018-07-08,28.75,29.0,29.14,28.21,992790,-0.83
Abu Qir Fertilizers and Chemical Industries,2018-07-15,28.67,28.84,29.23,28.3,354510,-0.28
Abu Qir Fertilizers and Chemical Industries,2018-07-22,28.46,28.85,28.85,28.22,266440,-0.73
Abu Qir Fertilizers and Chemical Industries,2018-07-29,27.84,28.3,28.3,27.25,315420,-2.18
Abu Qir Fertilizers and Chemical Industries,2018-08-05,29.17,27.9,30.75,27.56,1040000,4.78
Abu Qir Fertilizers and Chemical Industries,2018-08-12,29.98,29.25,30.05,28.52,885690,2.78
Abu Qir Fertilizers and Chemical Industries,2018-08-19,30.0,30.0,30.23,29.8,74070,0.07
Abu Qir Fertilizers and Chemical Industries,2018-08-26,33.26,30.11,35.0,29.45,1620000,10.87
Abu Qir Fertilizers and Chemical Industries,2018-09-02,33.14,32.99,33.5,32.4,925920,-0.36
Abu Qir Fertilizers and Chemical Industries,2018-09-09,33.22,33.0,34.64,32.82,1020000,0.24
Abu Qir Fertilizers and Chemical Industries,2018-09-16,31.4,32.82,33.0,29.01,4040000,-5.48
Abu Qir Fertilizers and Chemical Industries,2018-09-23,32.05,32.1,32.35,31.05,310490,2.07
Abu Qir Fertilizers and Chemical Industries,2018-09-30,31.29,32.5,32.5,30.52,1490000,-2.37
Abu Qir Fertilizers and Chemical Industries,2018-10-07,30.52,31.85,31.85,30.25,421010,-2.46
Abu Qir Fertilizers and Chemical Industries,2018-10-14,30.77,30.58,31.37,30.01,403370,0.82
Abu Qir Fertilizers and Chemical Industries,2018-10-21,25.98,30.62,30.88,25.55,1230000,-15.57
Abu Qir Fertilizers and Chemical Industries,2018-10-28,27.4,25.71,27.96,25.66,532080,5.47
Abu Qir Fertilizers and Chemical Industries,2018-11-04,28.01,27.3,28.99,27.3,556920,2.23
Abu Qir Fertilizers and Chemical Industries,2018-11-11,27.49,28.01,28.2,27.1,263090,-1.86
Abu Qir Fertilizers and Chemical Industries,2018-11-18,27.41,27.94,28.45,27.02,120070,-0.29
Abu Qir Fertilizers and Chemical Industries,2018-11-25,26.99,27.0,27.75,25.5,1160000,-1.53
Abu Qir Fertilizers and Chemical Industries,2018-12-02,24.94,27.0,27.0,24.02,233390,-7.6
Abu Qir Fertilizers and Chemical Industries,2018-12-09,25.71,24.11,26.11,24.11,823810,3.09
Abu Qir Fertilizers and Chemical Industries,2018-12-16,24.5,25.35,25.85,24.24,1100000,-4.71
Abu Qir Fertilizers and Chemical Industries,2018-12-23,24.32,24.79,24.79,23.4,808050,-0.73
Abu Qir Fertilizers and Chemical Industries,2018-12-30,23.15,24.03,24.16,22.51,973790,-4.81
Abu Qir Fertilizers and Chemical Industries,2019-01-06,23.81,23.06,24.5,23.05,771330,2.85
Abu Qir Fertilizers and Chemical Industries,2019-01-13,22.66,24.0,24.02,22.55,524310,-4.83
Abu Qir Fertilizers and Chemical Industries,2019-01-20,22.59,22.54,23.39,22.4,466830,-0.31
Abu Qir Fertilizers and Chemical Industries,2019-01-27,23.3,22.81,23.98,22.8,583820,3.14
Abu Qir Fertilizers and Chemical Industries,2019-02-03,25.83,23.55,26.29,22.8,1940000,10.86
Abu Qir Fertilizers and Chemical Industries,2019-02-10,26.5,26.33,27.02,25.51,1340000,2.59
Abu Qir Fertilizers and Chemical Industries,2019-02-17,25.93,26.68,27.0,25.8,405150,-2.15
Abu Qir Fertilizers and Chemical Industries,2019-02-24,25.03,25.76,25.97,24.91,195120,-3.47
Abu Qir Fertilizers and Chemical Industries,2019-03-03,26.74,24.7,27.08,24.57,1080000,6.83
Abu Qir Fertilizers and Chemical Industries,2019-03-10,28.93,27.34,29.25,26.8,2260000,8.19
Abu Qir Fertilizers and Chemical Industries,2019-03-17,27.3,29.0,29.0,27.02,128000,-5.63
Abu Qir Fertilizers and Chemical Industries,2019-03-24,26.3,27.5,27.5,25.79,147760,-3.66
Abu Qir Fertilizers and Chemical Industries,2019-03-31,26.95,26.98,27.5,26.2,114400,2.47
Abu Qir Fertilizers and Chemical Industries,2019-04-07,27.41,26.52,27.55,26.0,152760,1.71
Abu Qir Fertilizers and Chemical Industries,2019-04-14,26.99,27.58,27.9,26.75,587510,-1.53
Abu Qir Fertilizers and Chemical Industries,2019-04-21,27.12,26.95,27.33,26.25,84500,0.48
Abu Qir Fertilizers and Chemical Industries,2019-04-28,26.27,27.12,27.12,26.06,30250,-3.13
Abu Qir Fertilizers and Chemical Industries,2019-05-05,25.06,26.15,26.15,24.0,81170,-4.61
Abu Qir Fertilizers and Chemical Industries,2019-05-12,24.4,24.06,26.0,24.06,204940,-2.63
Abu Qir Fertilizers and Chemical Industries,2019-05-19,24.48,24.24,25.0,24.0,135780,0.33
Abu Qir Fertilizers and Chemical Industries,2019-05-26,23.81,24.32,25.0,23.5,246520,-2.74
Abu Qir Fertilizers and Chemical Industries,2019-06-02,23.18,24.0,24.3,22.74,177960,-2.65
Abu Qir Fertilizers and Chemical Industries,2019-06-09,24.05,23.31,24.17,23.21,924650,3.75
Abu Qir Fertilizers and Chemical Industries,2019-06-16,23.68,24.0,24.17,23.3,216940,-1.54
Abu Qir Fertilizers and Chemical Industries,2019-06-23,24.1,23.89,25.0,23.42,971690,1.77
Abu Qir Fertilizers and Chemical Industries,2019-06-30,23.75,24.53,24.55,23.71,295710,-1.45
Abu Qir Fertilizers and Chemical Industries,2019-07-07,23.21,23.71,24.4,23.0,372120,-2.27
Abu Qir Fertilizers and Chemical Industries,2019-07-14,22.49,23.05,23.25,21.11,227170,-3.1
Abu Qir Fertilizers and Chemical Industries,2019-07-21,22.92,22.15,23.2,22.15,92070,1.91
Abu Qir Fertilizers and Chemical Industries,2019-07-28,21.1,22.8,22.99,21.02,211390,-7.94
Abu Qir Fertilizers and Chemical Industries,2019-08-04,20.98,21.05,21.49,20.02,393960,-0.57
Abu Qir Fertilizers and Chemical Industries,2019-08-11,21.74,21.96,22.76,21.52,146330,3.62
Abu Qir Fertilizers and Chemical Industries,2019-08-18,22.33,21.73,22.8,21.5,809970,2.71
Abu Qir Fertilizers and Chemical Industries,2019-08-25,21.81,22.68,22.8,21.7,928310,-2.33
Abu Qir Fertilizers and Chemical Industries,2019-09-01,22.68,21.77,23.15,21.7,2360000,3.99
Abu Qir Fertilizers and Chemical Industries,2019-09-08,22.74,22.69,23.56,22.52,760280,0.26
Abu Qir Fertilizers and Chemical Industries,2019-09-15,21.74,22.65,23.0,21.5,5240000,-4.4
Abu Qir Fertilizers and Chemical Industries,2019-09-22,19.61,20.66,20.68,18.52,1180000,-9.8
Abu Qir Fertilizers and Chemical Industries,2019-09-29,21.17,20.5,21.5,20.05,913550,7.96
Abu Qir Fertilizers and Chemical Industries,2019-10-06,22.76,21.44,23.69,21.3,3530000,7.51
Abu Qir Fertilizers and Chemical Industries,2019-10-13,22.28,22.63,22.74,21.61,435070,-2.11
Abu Qir Fertilizers and Chemical Industries,2019-10-20,21.21,22.1,22.37,20.53,662490,-4.8
Abu Qir Fertilizers and Chemical Industries,2019-10-27,22.16,21.24,22.99,20.91,1590000,4.48
Abu Qir Fertilizers and Chemical Industries,2019-11-03,24.12,22.53,24.4,22.26,2040000,8.84
Abu Qir Fertilizers and Chemical Industries,2019-11-10,23.05,24.03,24.03,22.96,332090,-4.44
Abu Qir Fertilizers and Chemical Industries,2019-11-17,21.95,23.26,23.26,21.72,123130,-4.77
Abu Qir Fertilizers and Chemical Industries,2019-11-24,21.95,21.75,22.09,21.01,415880,0.0
Abu Qir Fertilizers and Chemical Industries,2019-12-01,21.5,22.0,22.0,20.5,381690,-2.05
Abu Qir Fertilizers and Chemical Industries,2019-12-08,20.85,21.64,21.7,20.56,306210,-3.02
Abu Qir Fertilizers and Chemical Industries,2019-12-15,21.08,21.89,21.89,20.65,707960,1.1
Abu Qir Fertilizers and Chemical Industries,2019-12-22,20.61,21.1,21.38,20.5,202390,-2.23
Abu Qir Fertilizers and Chemical Industries,2019-12-29,21.05,20.51,22.0,20.11,494910,2.13
Abu Qir Fertilizers and Chemical Industries,2020-01-05,20.31,20.55,20.8,19.0,377460,-3.52
Abu Qir Fertilizers and Chemical Industries,2020-01-12,20.13,20.78,20.79,20.0,226240,-0.89
Abu Qir Fertilizers and Chemical Industries,2020-01-19,20.19,20.4,20.5,19.61,87800,0.3
Abu Qir Fertilizers and Chemical Industries,2020-01-26,21.02,20.49,21.48,19.64,136780,4.11
Abu Qir Fertilizers and Chemical Industries,2020-02-02,20.31,20.43,20.74,19.92,304370,-3.38
Abu Qir Fertilizers and Chemical Industries,2020-02-09,19.39,20.1,20.39,19.2,166300,-4.53
Abu Qir Fertilizers and Chemical Industries,2020-02-16,18.81,19.25,19.5,18.75,348070,-2.99
Abu Qir Fertilizers and Chemical Industries,2020-02-23,16.73,19.0,19.0,16.52,340450,-11.06
Abu Qir Fertilizers and Chemical Industries,2020-03-01,16.93,16.0,17.25,15.0,1510000,1.2
Abu Qir Fertilizers and Chemical Industries,2020-03-08,15.05,16.75,16.75,14.46,753910,-11.1
Abu Qir Fertilizers and Chemical Industries,2020-03-15,12.36,13.76,14.0,10.85,395110,-17.87
Abu Qir Fertilizers and Chemical Industries,2020-03-22,15.89,12.7,16.63,12.36,2030000,28.56
Abu Qir Fertilizers and Chemical Industries,2020-03-29,15.61,16.3,16.6,15.14,129200,-1.76
Abu Qir Fertilizers and Chemical Industries,2020-04-05,15.25,15.49,15.86,14.99,1610000,-2.31
Abu Qir Fertilizers and Chemical Industries,2020-04-12,16.04,15.07,16.6,14.9,998500,5.18
Abu Qir Fertilizers and Chemical Industries,2020-04-19,15.76,15.6,16.01,15.18,956420,-1.75
Abu Qir Fertilizers and Chemical Industries,2020-04-26,15.6,16.0,16.68,15.35,2480000,-1.02
Abu Qir Fertilizers and Chemical Industries,2020-05-03,13.72,15.38,15.38,13.4,2880000,-12.05
Abu Qir Fertilizers and Chemical Industries,2020-05-10,11.97,13.8,13.85,11.25,17740000,-12.76
Abu Qir Fertilizers and Chemical Industries,2020-05-17,11.96,11.97,12.08,11.6,5250000,-0.08
Abu Qir Fertilizers and Chemical Industries,2020-05-31,13.56,12.1,13.75,12.0,26600000,13.38
Abu Qir Fertilizers and Chemical Industries,2020-06-07,13.53,13.9,14.29,13.37,6550000,-0.22
Abu Qir Fertilizers and Chemical Industries,2020-06-14,14.23,13.42,14.95,13.27,8320000,5.17
Abu Qir Fertilizers and Chemical Industries,2020-06-21,14.67,14.11,15.03,14.0,5580000,3.09
Abu Qir Fertilizers and Chemical Industries,2020-06-28,14.44,14.5,14.75,14.2,431230,-1.57
Abu Qir Fertilizers and Chemical Industries,2020-07-05,14.91,14.86,15.69,14.53,3270000,3.25
Abu Qir Fertilizers and Chemical Industries,2020-07-12,14.67,15.3,16.17,14.0,5310000,-1.61
Abu Qir Fertilizers and Chemical Industries,2020-07-19,14.7,15.0,15.07,14.5,1330000,0.2
Abu Qir Fertilizers and Chemical Industries,2020-07-26,14.93,14.7,15.5,14.7,1100000,1.56
Abu Qir Fertilizers and Chemical Industries,2020-08-02,15.15,14.95,15.4,14.83,993500,1.47
Abu Qir Fertilizers and Chemical Industries,2020-08-09,17.9,15.48,18.07,15.35,4100000,18.15
Abu Qir Fertilizers and Chemical Industries,2020-08-16,17.92,18.16,19.55,17.76,2510000,0.11
Abu Qir Fertilizers and Chemical Industries,2020-08-23,17.88,17.92,18.9,17.65,2410000,-0.22
Abu Qir Fertilizers and Chemical Industries,2020-08-30,18.25,17.8,18.6,17.5,3620000,2.07
Abu Qir Fertilizers and Chemical Industries,2020-09-06,18.94,18.23,19.2,17.05,3320000,3.78
Abu Qir Fertilizers and Chemical Industries,2020-09-13,18.98,18.94,19.3,18.0,4020000,0.21
Abu Qir Fertilizers and Chemical Industries,2020-09-20,20.32,18.8,20.9,18.4,7700000,7.06
Abu Qir Fertilizers and Chemical Industries,2020-09-27,19.53,20.33,20.46,19.0,2520000,-3.89
Abu Qir Fertilizers and Chemical Industries,2020-10-04,18.93,19.0,19.7,18.7,1740000,-3.07
Abu Qir Fertilizers and Chemical Industries,2020-10-11,18.03,18.92,18.97,17.79,2830000,-4.75
Abu Qir Fertilizers and Chemical Industries,2020-10-18,16.92,17.99,18.14,16.53,1590000,-6.16
Abu Qir Fertilizers and Chemical Industries,2020-10-25,17.19,16.51,17.4,16.25,779080,1.6
Abu Qir Fertilizers and Chemical Industries,2020-11-01,18.56,16.9,18.85,16.66,3670000,7.97
Abu Qir Fertilizers and Chemical Industries,2020-11-08,19.05,18.6,19.2,18.15,1110000,2.64
Abu Qir Fertilizers and Chemical Industries,2020-11-15,19.59,19.25,20.1,19.0,3330000,2.83
Abu Qir Fertilizers and Chemical Industries,2020-11-22,20.71,19.26,21.21,19.21,1480000,5.72
Abu Qir Fertilizers and Chemical Industries,2020-11-29,20.31,20.7,21.0,19.7,902230,-1.93
Abu Qir Fertilizers and Chemical Industries,2020-12-06,21.0,20.4,22.34,20.05,2200000,3.4
Abu Qir Fertilizers and Chemical Industries,2020-12-13,20.62,20.54,21.25,20.01,3280000,-1.81
Abu Qir Fertilizers and Chemical Industries,2020-12-20,20.85,20.99,22.49,19.71,2290000,1.12
Abu Qir Fertilizers and Chemical Industries,2020-12-27,20.68,20.33,20.8,20.04,1730000,-0.82
Abu Qir Fertilizers and Chemical Industries,2021-01-03,20.67,20.73,21.0,20.21,1310000,-0.05
Abu Qir Fertilizers and Chemical Industries,2021-01-10,20.6,20.85,20.85,19.81,3040000,-0.34
Abu Qir Fertilizers and Chemical Industries,2021-01-17,21.99,20.74,22.4,20.7,3640000,6.75
Abu Qir Fertilizers and Chemical Industries,2021-01-24,22.58,21.99,23.0,21.41,1110000,2.68
Abu Qir Fertilizers and Chemical Industries,2021-01-31,22.83,22.8,24.24,22.6,1790000,1.11
Abu Qir Fertilizers and Chemical Industries,2021-02-07,21.85,23.0,23.79,21.5,806000,-4.29
Abu Qir Fertilizers and Chemical Industries,2021-02-14,21.91,21.98,22.0,21.1,1760000,0.27
Abu Qir Fertilizers and Chemical Industries,2021-02-21,22.2,21.5,22.69,21.3,860360,1.32
Abu Qir Fertilizers and Chemical Industries,2021-02-28,21.79,21.71,22.42,21.25,862070,-1.85
Abu Qir Fertilizers and Chemical Industries,2021-03-07,21.38,21.88,23.07,19.34,2720000,-1.88
Abu Qir Fertilizers and Chemical Industries,2021-03-14,20.81,21.3,21.54,20.51,483750,-2.67
Abu Qir Fertilizers and Chemical Industries,2021-03-21,21.59,20.99,22.0,19.65,980580,3.75
Abu Qir Fertilizers and Chemical Industries,2021-03-28,20.93,21.7,22.0,20.8,98970,-3.06
Abu Qir Fertilizers and Chemical Industries,2021-04-04,20.44,20.81,21.5,19.83,574230,-2.34
Abu Qir Fertilizers and Chemical Industries,2021-04-11,19.48,20.21,20.95,19.0,255220,-4.7
Abu Qir Fertilizers and Chemical Industries,2021-04-18,20.01,19.51,20.49,19.51,320750,2.72
Abu Qir Fertilizers and Chemical Industries,2021-04-25,19.81,20.48,20.48,19.6,171280,-1.0
Abu Qir Fertilizers and Chemical Industries,2021-05-02,19.67,19.87,20.0,19.6,131780,-0.71
Abu Qir Fertilizers and Chemical Industries,2021-05-09,19.93,19.9,20.0,19.65,57620,1.32
Abu Qir Fertilizers and Chemical Industries,2021-05-16,20.27,19.94,21.5,19.94,365130,1.71
Abu Qir Fertilizers and Chemical Industries,2021-05-23,19.16,20.3,20.4,19.0,498240,-5.48
Abu Qir Fertilizers and Chemical Industries,2021-05-30,18.73,19.16,19.49,18.5,717960,-2.24
Abu Qir Fertilizers and Chemical Industries,2021-06-06,18.71,18.8,19.98,18.2,864270,-0.11
Abu Qir Fertilizers and Chemical Industries,2021-06-13,18.7,18.75,18.97,18.2,979380,-0.05
Abu Qir Fertilizers and Chemical Industries,2021-06-20,19.12,18.55,19.5,18.12,2330000,2.25
Abu Qir Fertilizers and Chemical Industries,2021-06-27,19.21,19.49,20.5,18.92,1020000,0.47
Abu Qir Fertilizers and Chemical Industries,2021-07-04,18.94,19.4,20.4,18.73,1660000,-1.41
Abu Qir Fertilizers and Chemical Industries,2021-07-11,19.36,18.99,19.9,18.7,1340000,2.22
Abu Qir Fertilizers and Chemical Industries,2021-07-18,19.73,19.79,19.99,19.4,198330,1.91
Abu Qir Fertilizers and Chemical Industries,2021-07-25,19.82,20.0,21.0,19.65,2610000,0.46
Abu Qir Fertilizers and Chemical Industries,2021-08-01,19.62,19.61,20.19,19.2,1040000,-1.01
Abu Qir Fertilizers and Chemical Industries,2021-08-08,19.58,19.9,20.4,19.31,2160000,-0.2
Abu Qir Fertilizers and Chemical Industries,2021-08-15,18.98,19.92,19.92,18.9,1120000,-3.06
Abu Qir Fertilizers and Chemical Industries,2021-08-22,19.13,18.9,19.5,18.73,1280000,0.79
Abu Qir Fertilizers and Chemical Industries,2021-08-29,19.24,19.38,19.38,18.75,3650000,0.58
Abu Qir Fertilizers and Chemical Industries,2021-09-05,18.61,19.2,19.35,18.33,2230000,-3.27
Abu Qir Fertilizers and Chemical Industries,2021-09-12,18.59,18.69,19.06,18.4,1110000,-0.11
Abu Qir Fertilizers and Chemical Industries,2021-09-19,19.71,18.5,19.9,18.4,6590000,6.02
Abu Qir Fertilizers and Chemical Industries,2021-09-26,19.88,19.7,20.6,19.15,12150000,0.86
Abu Qir Fertilizers and Chemical Industries,2021-10-03,19.95,19.99,20.4,19.85,813540,0.35
Abu Qir Fertilizers and Chemical Industries,2021-10-10,21.13,20.0,21.7,19.75,4380000,5.91
Abu Qir Fertilizers and Chemical Industries,2021-10-17,19.7,21.35,21.44,19.4,4610000,-6.77
Abu Qir Fertilizers and Chemical Industries,2021-10-24,21.5,19.98,22.89,19.75,5700000,9.14
Abu Qir Fertilizers and Chemical Industries,2021-10-31,19.18,20.61,20.61,19.01,5310000,-10.79
Abu Qir Fertilizers and Chemical Industries,2021-11-07,19.37,19.79,19.85,19.0,801010,0.99
Abu Qir Fertilizers and Chemical Industries,2021-11-14,19.77,19.9,20.85,19.37,1900000,2.07
Abu Qir Fertilizers and Chemical Industries,2021-11-21,19.16,20.8,21.2,19.0,4140000,-3.09
Abu Qir Fertilizers and Chemical Industries,2021-11-28,18.8,18.96,19.0,18.5,724600,-1.88
Abu Qir Fertilizers and Chemical Industries,2021-12-05,22.11,18.8,22.11,17.9,8190000,17.61
Abu Qir Fertilizers and Chemical Industries,2021-12-12,20.36,21.89,21.89,19.7,20080000,-7.91
Abu Qir Fertilizers and Chemical Industries,2021-12-19,20.0,20.32,20.85,19.59,4610000,-1.77
Abu Qir Fertilizers and Chemical Industries,2021-12-26,21.5,20.22,22.12,20.07,6400000,7.5
Abu Qir Fertilizers and Chemical Industries,2022-01-02,21.49,21.4,21.55,20.7,1430000,-0.05
Abu Qir Fertilizers and Chemical Industries,2022-01-09,21.73,21.48,21.99,20.9,4170000,1.12
Abu Qir Fertilizers and Chemical Industries,2022-01-16,21.54,21.79,21.8,20.9,4870000,-0.87
Abu Qir Fertilizers and Chemical Industries,2022-01-23,21.45,21.35,21.8,21.17,2970000,-0.42
Abu Qir Fertilizers and Chemical Industries,2022-01-30,21.01,21.4,21.55,20.87,2690000,-2.05
Abu Qir Fertilizers and Chemical Industries,2022-02-06,20.95,21.1,21.29,20.5,5350000,-0.29
Abu Qir Fertilizers and Chemical Industries,2022-02-13,21.3,20.8,21.5,20.25,3670000,1.67
Abu Qir Fertilizers and Chemical Industries,2022-02-20,20.8,21.06,21.29,19.5,4800000,-2.35
